value,anomaly
0.03725356147584245,0
0.36266500815944336,0
0.7712071515101249,0
1.141047898123635,0
1.2489303851487725,0
1.4090245026715418,0
1.6154810538054618,0
5.200204959867633,1
1.3220299997539078,0
1.1964618674326313,0
0.8469215514777753,0
0.5172570975092474,0
0.2061470207139087,0
-0.3314958686957913,0
-10.578119333173028,1
-0.923849443131783,0
-1.231732198188766,0
-1.3336720287543842,0
-1.541532681757124,0
-1.6029628702425542,0
-1.3166611167736137,0
-1.2834251107895125,0
-1.0217560435414381,0
-0.8294866251185822,0
-10.578119333173028,1
0.008319194228240923,1
-0.21328968755939037,1
-0.24919213747150115,1
-0.5182272428508764,1
-0.7553851429814729,1
-1.1185432214744742,1
-1.3640390435194223,1
-2.027581415762312,1
-2.722087740972664,1
5.200204959867633,1
-3.2924068677638063,1
-3.9321484013476264,0
-4.458975408944528,0
-4.78761380401384,0
-5.037422236336834,0
-5.326292884939053,0
-5.642917243074436,0
-5.865914199878148,0
-5.99601365326223,0
-6.1079292419199644,0
-5.980573090072333,0
-5.801039796075006,0
-10.578119333173028,1
-5.196859139434937,0
-5.005262842399485,0
0.05711037665852762,1
-4.155846340283942,0
-3.8281386388703735,0
-3.4273036194439013,0
-3.1561831475597804,0
-3.0035692166235544,0
-3.0659012215992902,0
-3.049760052095808,0
-3.1179146639457036,0
-3.27106425130214,0
-3.6542601893996887,0
-3.9617375942227717,0
-4.394975272703996,0
-4.777715347152507,0
-4.991247392347454,0
-5.279959876295897,0
-5.66117062328221,0
-5.781975611357128,0
-1.446308174214461,1
-1.0454240742377916,1
-0.39948010402959966,1
0.34886085423192625,1
0.9704923881737206,1
1.8947177630334804,1
-1.227067009550755,1
3.5616426878281406,1
4.379563360865147,1
5.200204959867633,1
1.033702717133198,0
1.876365532310929,1
1.4101093828549165,0
1.5238235355057888,0
1.5842729294486468,0
1.334530396827014,1
1.0951328439466943,0
0.8440461001698663,0
0.6208419878546705,0
0.21265618357093263,0
-0.2277318656289875,0
-0.5136917715435159,0
-0.8743970622376098,0
-2.0019176765267876,1
-1.409894560739831,0
-1.4980055370878667,0
-1.5264482041273197,0
-1.536348395552638,0
-1.2442828674731787,0
-1.007241513479542,0
-0.7222470019043854,0
-1.2512735024123245,1
-0.005516135213946782,1
1.1785200421730324,1
1.2069049779240402,1
5.200204959867633,1
1.2086559519514228,1
1.1267213504384799,1
1.2125587206158421,1
1.2546547537736288,1
1.2154345571539684,1
1.5773959435332015,1
0.7377700372912788,0
0.5501982883683243,0
0.19251711609202893,0
-0.0032566919100620595,0
-0.5666139013856011,0
-1.7287452994218935,1
-1.1583732468915784,0
-1.444891431520496,0
-1.3877191650044072,0
-10.578119333173028,1
-1.367257378414501,0
-1.3346959473626274,0
-0.9216110855728221,0
-1.5614749262664749,1
-0.3290205487122613,0
0.16428417193575218,0
0.2987446063624821,0
0.6801581814323692,0
1.0342945112746076,0
1.2287312141943079,0
1.3102850171127698,0
1.5021823157528598,0
1.3937580975635742,0
1.3927600109966667,0
1.0868130465961485,0
5.200204959867633,1
0.49344283210179274,0
0.16384523663102613,0
-0.12698605904373306,0
-0.6445016527595637,0
